id,address,city,end_date,name,prize_money,start_date,state,url,zip,map_link,organizer,inserted_at,updated_at
b96eb7f5-aac7-465a-8d4a-dc86dc2d7162,200 W Avon Rd.,Rochester Hills,2022-03-07,Michigan Senior Olympics Winter Games,0,2022-03-05,MI,https://usapickleball.org/event/michigan-senior-olympics-winter-games/,48307,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=200+W+Avon+Rd.+Rochester+Hills+MI+48307+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
3e516285-679b-4674-9fb8-b70157adca8d,13800 W Deer Valley Drive,Sun City West,2022-03-10,Fun In The Sun Pickleball Tournament For Charity,0,2022-03-07,AZ,https://usapickleball.org/event/fun-in-the-sun-pickleball-tournament-for-charity/,85375,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=13800+W+Deer+Valley+Drive+Sun+City+West+AZ+85375+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
08275837-603a-4c5e-8823-74a33200df82,5624 Robson Blvd.,Eloy,2022-03-13,2022 Robson Ranch Desert Slam 9th Annual Pickleball Tournament,0,2022-03-09,AZ,https://usapickleball.org/event/2022-robson-ranch-desert-slam-9th-annual-pickleball-tournament/,85131,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=5624+Robson+Blvd.+Eloy+AZ+85131+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
1c45459b-8e34-4a5b-bad6-642098a37441,420 South Park Ave,Winter Garden,2022-03-13,Winter Garden St Paddle’s Day Pickleball Tournament,0,2022-03-10,FL,https://usapickleball.org/event/winter-garden-st-paddles-day-pickleball-tournament/,34787,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=420+South+Park+Ave+Winter+Garden+FL+34787+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
62d93123-8b97-4a85-8a37-93a718785f8a,3 Racquet Club Drive So.,Rancho Mirage,2022-03-13,March Madness of the Desert,0,2022-03-11,CA,https://usapickleball.org/event/march-madness-of-the-desert/,92270,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3+Racquet+Club+Drive+So.+Rancho+Mirage+CA+92270+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
658bdcd9-74a2-4f14-bc63-14ef31bf02ef,5306 North River Road,Oceanside,2022-03-13,March Madness at Melba Pickleball Tournament,0,2022-03-11,CA,https://usapickleball.org/event/march-madness-at-melba-pickleball-tournament/,92057,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=5306+North+River+Road+Oceanside+CA+92057+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
baa634be-df7a-4687-8b8b-f85b061d52b7,345 Championship Lane,Templeton,2022-03-13,Zin2Win,0,2022-03-11,CA,https://usapickleball.org/event/zin2win/,93465,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=345+Championship+Lane+Templeton+CA+93465+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
33aa1ded-c07f-415e-b526-c1cd17e14653,2601 E Sunset Rd,Las Vegas,2022-03-13,March Madness – Las Vegas,0,2022-03-11,NV,https://usapickleball.org/event/march-madness-las-vegas/,89120,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2601+E+Sunset+Rd+Las+Vegas+NV+89120+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
aab1f20c-05c9-4c08-89df-8f0cbfa3651f,"3000 Grapevine Mills Parkway, Ste. 329",Grapevine,2022-03-13,The Grapevine Indoor,0,2022-03-12,TX,https://usapickleball.org/event/the-grapevine-indoor-3/,76051,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3000+Grapevine+Mills+Parkway%2C+Ste.+329+Grapevine+TX+76051+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
5e6db481-dc4a-405e-872a-9b6f6a50c4d7,201 W. Atlantic Avenue,Delray Beach,2022-03-20,Delray Beach Pickleball Open,0,2022-03-15,FL,https://usapickleball.org/event/delray-beach-pickleball-open/,33444,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=201+W.+Atlantic+Avenue+Delray+Beach+FL+33444+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
